timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708110988513,28,1 - /,304,Not Modified,Ultimate Thr_Gr_maxperf 1-1,,true,,264,788,1,1,https://dev-lt.uxcrowd.ru/,0,0,20
1708110988511,28,UC_04_TR_01_home,200,"Number of samples in transaction : 2, number of failing samples : 0",Ultimate Thr_Gr_maxperf 1-1,,true,,264,788,1,1,null,0,25,20
1708110988564,7,2 - /tmpl/tmpl_home/modal-login.html,304,Not Modified,Ultimate Thr_Gr_maxperf 1-1,,true,,264,815,1,1,https://dev-lt.uxcrowd.ru/tmpl/tmpl_home/modal-login.html,0,0,0
1708110988564,7,UC_01_TR_02_click_login,200,"Number of samples in transaction : 1, number of failing samples : 0",Ultimate Thr_Gr_maxperf 1-1,,true,,264,815,1,1,null,0,1,0
1708110988572,851,3 - /api/authentication,200,,Ultimate Thr_Gr_maxperf 1-1,,true,,897,902,1,1,https://dev-lt.uxcrowd.ru/api/authentication,851,0,0
1708110989423,58,3 - /api/account,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,1185,890,1,1,https://dev-lt.uxcrowd.ru/api/account?password=ajbPwV,58,0,0
1708110989481,56,3 - /api/v2/tester/profile,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,866,884,1,1,https://dev-lt.uxcrowd.ru/api/v2/tester/profile,56,0,0
1708110989538,1751,3 - /api/tester/new-tasks?isMobile=false,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,17071,898,1,1,https://dev-lt.uxcrowd.ru/api/tester/new-tasks?isMobile=false,1750,0,0
1708110991296,34,https://dev-lt.uxcrowd.ru/api/v2/tester/profile,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,866,884,1,1,https://dev-lt.uxcrowd.ru/api/v2/tester/profile,34,0,0
1708110988572,2750,UC_01_TR_03_reg_auth,200,"Number of samples in transaction : 6, number of failing samples : 0",Ultimate Thr_Gr_maxperf 1-1,,true,,20885,4458,1,1,null,2749,8,0
1708110991330,39,https://dev-lt.uxcrowd.ru/api/tester/get-test-status?orderId=${randomid},200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,654,948,1,1,https://dev-lt.uxcrowd.ru/api/tester/get-test-status?orderId=12107551&orderId=12107551,39,0,0
1708110991369,0,Debug Sampler,200,OK,Ultimate Thr_Gr_maxperf 1-1,text,true,,971,0,1,1,null,0,0,0
1708110991369,25,5 - /api/v2/plugin/getLastVersion?pluginType=WEB&environmentType=PROD,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,512,904,1,1,https://dev-lt.uxcrowd.ru/api/v2/plugin/getLastVersion?environmentType=PROD&pluginType=WEB,25,0,0
1708110991394,10,5 - /app-tester-home/new-tasks,304,Not Modified,Ultimate Thr_Gr_maxperf 1-1,,true,,264,1128,1,1,https://dev-lt.uxcrowd.ru/app-tester-home/new-tasks,0,0,0
1708110991404,46,5 - /api/account,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,1185,899,1,1,https://dev-lt.uxcrowd.ru/api/account,46,0,0
1708110991451,40,5 - /api/v2/tester/profile,200,,Ultimate Thr_Gr_maxperf 1-1,text,true,,866,909,1,1,https://dev-lt.uxcrowd.ru/api/v2/tester/profile,40,0,0
